text,category
 Comfortable room which was very clean,Positive
No Positive,Positive
 Everything from the reception greeting of Luca to leaving wth yet another warm vibe from reception The cleaning staff were polite and warm My standard room was spotless in terms of cleanliness an incredibly cosy bed a nice ambience to the room ,Positive
 Very comfortable and clean room Balcony was a little plus ,Positive
 Alex Hotel couldn t find our booking at first but it worked out that they had upgraded us to a Junior suite which was amazing Free rubber duck was a nice touch and did make us laugh ,Positive
 Hotel was clean smart looking and great location as well as very professional The room was spacious and the bathroom with both separate shower and bath was a brilliant bonus Our room was located right outside the lifts and we didnt hear anything Also had to love the Apex duck Would definately recommend staying in an Apex hotel ,Positive
 location would have been great,Positive
 Room was a nice size and very quiet Quite a long walk from reception along winding corridors but worth the walk when you got there We were in room 149 which was the very end room on a corridor and we never heard a thing ,Positive
 The hotel is in a quiet location right in the heart of London so it is within easy walking distance of most of the places we wished to visit We didn t experience the usual problem of banging doors and loud voices that seems to be the norm these days in big hotels maybe because we were right at the end of a corridor maybe because the walls and floors are well soundproofed so we managed to have a good undisturbed night s sleep There was very little traffic noise either It was lovely to be able to go to the local theatres and walk back to the hotel afterwards The Novello is a about 10 minutes walk away I loved the idea of the little duck it made it feel more personal and now sits in my bathroom at home The room we had was a good size the bed was extremely comfortable and the room was spotlessly clean A bath robe and slippers were provided as well as the usual toiletries ,Positive
 Location of the hotel,Positive
 Really lovely and luxurious hotel Special thanks to Gosia on Reception who went above and beyond to make our stay as enjoyable and special as possible so thank you Gosia ,Positive
 The room was really completely sound proof We appreciated the bathroom with both tube and big shower cabin together with the super cozy bath ropes And if you like to listen to music properly don t forget to bring a little audio cable jack to jack The superior rooms are equipped with a Bose sound system but it doesn t have a bluethooth connection and you will need this cable ,Positive
 Excellent location good standard of hotel Professional service,Positive
No Positive,Positive
 Location was reason for booking and was spot on Staff were all very pleasant Time was spent out and about as we were visiting friends and family so didn t use facilities or eat breakfast Room was clean and tidy with great black out curtains Check out swift and easy ,Positive
 Location of the hotel is fantastic The hotel itself has a lovely atmosphere and the staff are very helpful The room was massive particularly considering its location in London The breakfast had a great selection and was perfect to prepare for a long day walking around London ,Positive
 Great hotel in good location fairly near theatres St Paul s Tate Modern The City River Thames The Shard half hour walk to Trafalgar Square a bit more to Soho Oxford St Nice to walk along the river to Westminster or get a boat 10 15min taxi from St Pancras Fairly quiet district for London but not much happening in the immediate location ,Positive
 Given special permission to use hotel parking alongside blue badge holding parents many thanks for this convenience ,Positive
 Room was very spacious and clean with all the facilities that you need Bed was very comfortable as well The surroundings is very quiet as the hotel has a innercourt and is not directly situated on a busy road,Positive
 The bed really confortable Location is good walking distance to tube and train ,Positive
 Room was gorgeous and very clean Lovely big bed High quality furnishings and technology and air con as well which was an unexpected bonus ,Positive
 Location and price so close to Christmas was awesome room upgrade on arrival was much appreciated after a long and difficult flight Staff very welcoming and attentive helped us with our bags and shopping when we checked in and out were on hand to order taxis and help It was also quiet and out of the way despite the central location ,Positive
